,state,parlimen,party,voters
150,Melaka,P.134 Masjid Tanah,PERIKATAN NASIONAL (PN),69174
151,Johor,P.146 Muar,PAKATAN HARAPAN (PH),68925
152,Perak,P.057 Parit Buntar,PERIKATAN NASIONAL (PN),68502
153,Kedah,P.005 Jerlun,PERIKATAN NASIONAL (PN),67601
154,Johor,P.155 Tenggara,BARISAN NASIONAL (BN),67294
155,Kedah,P.004 Langkawi,PERIKATAN NASIONAL (PN),66777
156,Sabah,P.179 Ranau,PARTI GABUNGAN RAKYAT SABAH (GRS),66517
157,Johor,P.154 Mersing,PERIKATAN NASIONAL (PN),66275
158,Perak,P.056 Larut,PERIKATAN NASIONAL (PN),65719
159,Sarawak,P.199 Serian,GABUNGAN PARTI SARAWAK (GPS),65273
160,Selangor,P.093 Sungai Besar,PERIKATAN NASIONAL (PN),64382
161,Johor,P.141 Sekijang,PAKATAN HARAPAN (PH),63981
162,Negeri Sembilan,P.129 Kuala Pilah,BARISAN NASIONAL (BN),63247
163,Sabah,P.173 Putatan,BARISAN NASIONAL (BN),63173
164,Kedah,P.013 Sik,PERIKATAN NASIONAL (PN),63126
165,Selangor,P.095 Tanjong Karang,PERIKATAN NASIONAL (PN),62194
166,Perak,P.072 Tapah,BARISAN NASIONAL (BN),61946
167,Johor,P.156 Kota Tinggi,BARISAN NASIONAL (BN),61291
168,Johor,P.148 Ayer Hitam,BARISAN NASIONAL (BN),61041
169,Perlis,P.003 Arau,PERIKATAN NASIONAL (PN),60876
170,Pahang,P.087 Kuala Krau,PERIKATAN NASIONAL (PN),60537
171,Perlis,P.001 Padang Besar,PERIKATAN NASIONAL (PN),60192
172,Sabah,P.175 Papar,PARTI GABUNGAN RAKYAT SABAH (GRS),59942
173,Kedah,P.007 Padang Terap,PERIKATAN NASIONAL (PN),59806
174,Kelantan,P.030 Jeli,PERIKATAN NASIONAL (PN),59798
175,Negeri Sembilan,P.126 Jelebu,BARISAN NASIONAL (BN),59561
176,Sarawak,P.220 Baram,GABUNGAN PARTI SARAWAK (GPS),59535
177,Johor,P.151 Simpang Renggam,BARISAN NASIONAL (BN),59033
178,Sarawak,P.218 Sibuti,GABUNGAN PARTI SARAWAK (GPS),58522
179,Perak,P.075 Bagan Datuk,BARISAN NASIONAL (BN),58183
180,Sabah,P.182 Pensiangan,BARISAN NASIONAL (BN),55672
181,Sabah,P.186 Sandakan,PAKATAN HARAPAN (PH),55542
182,Johor,P.157 Pengerang,BARISAN NASIONAL (BN),55316
183,Sarawak,P.208 Sarikei,GABUNGAN PARTI SARAWAK (GPS),55018
184,Johor,P.153 Sembrong,BARISAN NASIONAL (BN),54982
185,Pahang,P.086 Maran,PERIKATAN NASIONAL (PN),53128
186,Pulau Pinang,P.049 Tanjong,PAKATAN HARAPAN (PH),52803
187,Selangor,P.092 Sabak Bernam,PERIKATAN NASIONAL (PN),51609
188,Sarawak,P.202 Sri Aman,GABUNGAN PARTI SARAWAK (GPS),50164
189,Johor,P.142 Labis,PAKATAN HARAPAN (PH),49846
190,Perak,P.069 Parit,PERIKATAN NASIONAL (PN),47915
191,Perak,P.054 Gerik,PERIKATAN NASIONAL (PN),47565
192,Sarawak,P.192 Mas Gading,PAKATAN HARAPAN (PH),47171
193,Pahang,P.079 Lipis,BARISAN NASIONAL (BN),47124
194,Perak,P.067 Kuala Kangsar,PERIKATAN NASIONAL (PN),46985
195,Sarawak,P.213 Mukah,GABUNGAN PARTI SARAWAK (GPS),46964
196,Pahang,P.078 Cameron Highlands,BARISAN NASIONAL (BN),46020
197,Sabah,P.178 Sipitang,PARTI GABUNGAN RAKYAT SABAH (GRS),45871
198,Sarawak,P.214 Selangau,GABUNGAN PARTI SARAWAK (GPS),45743
199,Sarawak,P.215 Kapit,GABUNGAN PARTI SARAWAK (GPS),45210
200,Sabah,P.187 Kinabatangan,BARISAN NASIONAL (BN),44773
201,Sabah,P.183 Beluran,PERIKATAN NASIONAL (PN),44727
202,Sarawak,P.205 Saratok,PERIKATAN NASIONAL (PN),44531
203,W.P. Labuan,P.166 Labuan,PERIKATAN NASIONAL (PN),44484
204,Sabah,P.185 Batu Sapi,PARTI GABUNGAN RAKYAT SABAH (GRS),43916
205,Sarawak,P.216 Hulu Rajang,GABUNGAN PARTI SARAWAK (GPS),43438
206,Sabah,P.177 Beaufort,BARISAN NASIONAL (BN),43248
207,Sarawak,P.201 Batang Lupar,GABUNGAN PARTI SARAWAK (GPS),43072
208,W.P. Putrajaya,P.125 Putrajaya,PERIKATAN NASIONAL (PN),42881
209,Sabah,P.181 Tenom,BEBAS (BEBAS),42045
210,Sarawak,P.221 Limbang,GABUNGAN PARTI SARAWAK (GPS),41999
211,Sarawak,P.204 Betong,GABUNGAN PARTI SARAWAK (GPS),41743
212,Sabah,P.176 Kimanis,BARISAN NASIONAL (BN),40763
213,Perak,P.061 Padang Rengas,PERIKATAN NASIONAL (PN),38686
214,Perak,P.055 Lenggong,BARISAN NASIONAL (BN),36950
215,Sarawak,P.209 Julau,PARTI BANGSA MALAYSIA (PBM),34850
216,Sarawak,P.222 Lawas,GABUNGAN PARTI SARAWAK (GPS),33655
217,Sarawak,P.206 Tanjong Manis,GABUNGAN PARTI SARAWAK (GPS),32948
218,Sarawak,P.200 Batang Sadong,GABUNGAN PARTI SARAWAK (GPS),32640
219,Sarawak,P.210 Kanowit,GABUNGAN PARTI SARAWAK (GPS),30988
220,Sarawak,P.203 Lubok Antu,GABUNGAN PARTI SARAWAK (GPS),28995
221,Sarawak,P.207 Igan,GABUNGAN PARTI SARAWAK (GPS),28290
